"source","target","weight","description","text_unit_ids","id","human_readable_id","source_degree","target_degree","rank"
"TECH INNOVATIONS PVT. LTD","""TECH PARK AVENUE, INC.""",1.0,"""Tech Innovations Pvt. Ltd is contracted by Tech Park Avenue, Inc. to perform software development services.""",['af02da68051b407a774989332a162982'],"85c79fd84f5e4f918471c386852204c5","0",3,4,7
"TECH INNOVATIONS PVT. LTD","INDIA",1.0,"Tech Innovations Pvt. Ltd is located in India.",['af02da68051b407a774989332a162982'],"eae4259b19a741ab9f9f6af18c4a0470","1",3,1,4
"TECH INNOVATIONS PVT. LTD","SERVICES AGREEMENT",1.0,"The Services Agreement involves Tech Innovations Pvt. Ltd as the Contractor.",['af02da68051b407a774989332a162982'],"3138f39f2bcd43a69e0697cd3b05bc4d","2",3,2,5
"""TECH PARK AVENUE, INC.""","USA",1.0,"""Tech Park Avenue, Inc. is located in the USA.""",['af02da68051b407a774989332a162982'],"dde131ab575d44dbb55289a6972be18f","3",4,1,5
"""TECH PARK AVENUE, INC.""","SERVICES AGREEMENT",1.0,"""The Services Agreement involves Tech Park Avenue, Inc. as the Company.""",['af02da68051b407a774989332a162982'],"de9e343f2e334d88a8ac7f8813a915e5","4",4,2,6
"""TECH PARK AVENUE, INC.""","TECH INNOVATIONS PVT. LTD.",1.0,"Both organizations are parties to the Agreement mentioned in the document.",['54075507af865d4dc5931205fab5765f'],"e2bf260115514fb3b252fd879fb3e7be","5",4,1,5
"CONTRACTOR","COMPANY",22.0,"""The Company and the Contractor are engaged in a comprehensive contractual agreement where the Contractor provides various services and deliverables to the Company. The Company agrees to pay the Contractor for these services and has the right to terminate the Statement of Work if the deliverables are not accepted. Both parties have specific roles and responsibilities, including handling Confidential Information and enforcing the terms of the agreement.

The Contractor performs services under the general direction of the Company but retains discretion over how the services are accomplished, and is not considered an agent or employee of the Company. The Company oversees and reviews the work performed by the Contractor, including requesting changes and conducting acceptance testing. The Company also requires the Contractor to obtain necessary ratifications, consents, and authorizations from its personnel and to seek prior written consent for the use of third-party and Contractor intellectual property (IP) in deliverables.

The Company makes payments to the Contractor for services and deliverables and owns the intellectual property developed by the Contractor. The Contractor assigns all rights, title, and interest in the newly developed IP to the Company, making the Company the owner of the IP. Additionally, the Contractor grants the Company a license to use, modify, distribute, and otherwise exploit the Contractor's IP.

The Company has the authority to approve or disapprove sub-contractors and requires prior written consent for the Contractor to subcontract services. The Company can also request changes in specifications for the time or place of delivery. The Contractor must comply with specific terms and conditions set by the Company.

Both parties have mutual obligations, including the payment of fees and maintaining confidentiality. The Company may assign the agreement to a corporate affiliate or successor without the Contractor's consent, but any other assignments require the Contractor's consent. The Contractor designates the Company as its agent and attorney-in-fact to execute and file documents and perform other acts on its behalf.

In summary, the Company and the Contractor are the two main parties involved in the Agreement, each having rights and responsibilities, including access to each other's Confidential Information, enforcement of the agreement, and handling of intellectual property. The Contractor provides front-end services and deliverables, while the Company provides materials, API endpoints, and general direction for the services.""","['074d8bc13c7cff5ee897c3eca3e30693' '09038f7353e18c002372101e4a4141be'
 '0eb3593149c31596ddef2c535e782a58' '39e32d155411e5a89ff5707ee1b03c9c'
 '3c8b240edf207b97a5df6c92e4afd43a' '4c9b33d2d1fe99bd63cd8f99c679281d'
 '520f82c4733c1da4b602815fc08dc110' '5535b05bf384b9ecfba910725e6518e4'
 '6134ff8fdc6cf9ea36d456819fb81850' '8b2c4dc1f5b8fa2f52a6b505f77bb4ff'
 'a05f1c3b26d22d47e76e16edefe118fc' 'bfe652d20977453f943d863e7fac1edc'
 'c642e51ecac0ee0338a50b22719b5345' 'c80544c339c19ece8e5afc2200e98300'
 'ce810a02fd6124b31ca2183c6b7bd4b6' 'cecfda346bdac8e9232a912d20fd8b94'
 'd3be9092a42bc9d927636522ec06973f' 'e7a17066064b2a2003f09ecc3c269f9e'
 'e95a03d09a97893949ed1a0052424641' 'ec920851838d4a61251a9f4a23de71a6'
 'f74af18f0023e1c5abc424734f082003']","b462b94ce47a4b8c8fffa33f7242acec","6",19,14,33
"CONTRACTOR","STATEMENT OF WORK",3.0,"""The Contractor is responsible for performing the services and delivering the deliverables as described in the Statement of Work. The Contractor must provide these services and deliverables as outlined in the Statement of Work, which can be terminated by the Company.""","['cecfda346bdac8e9232a912d20fd8b94' 'ec920851838d4a61251a9f4a23de71a6'
 'f74af18f0023e1c5abc424734f082003']","17ed1d92075643579a712cc6c29e8ddb","7",19,3,22
"CONTRACTOR","SERVICES",1.0,"Contractor agrees to perform the Services as described in the Statement of Work.",['cecfda346bdac8e9232a912d20fd8b94'],"3ce7c210a21b4deebad7cc9308148d86","8",19,2,21
"CONTRACTOR","SUB-CONTRACTORS",2.0,"The Contractor may subcontract services to sub-contractors with prior written consent from the Company and is responsible for their acts and omissions. Sub-contractors are bound by internal agreements to ensure compliance with the Contractor's obligations to the Company.",['c642e51ecac0ee0338a50b22719b5345' 'e7a17066064b2a2003f09ecc3c269f9e'],"d64ed762ea924caa95c8d06f072a9a96","9",19,1,20
